rowid,kepoi_name,koi_score,koi_period,koi_eccen,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,Predict
7257,K02926.03,1,20.9569985,0,0.038688,4.56644,2.38,0.126,363,4.11,47.33,5,3891,4.718,0.21,0.564,0.605,,0
7278,K03371.02,1,12.25384348,0,0.011217,5.83094,1,0.1016,678,50.05,35.9,2,5413,4.579,0.07,0.82,0.931,,0
8103,K06863.01,1,4.48559215,0,0.04497,59.17312,0.95,0.0295,365,4.2,39.8,1,3236,5.097,0,0.193,0.169,,0
8193,K02704.03,,8.15275885,0,0.118356,13.6772,2.44,0.0439,305,2.03,36.4,3,3327,5.113,-0.38,0.189,0.169,,0
8350,K02926.04,1,37.6333868,0,0.03659,3.3011,2.25,0.1861,299,1.88,62.8,5,3891,4.718,0.21,0.564,0.605,,0
8417,K05581.01,0.968,374.878133,0,0.028862,1.46428,4.27,1.0525,282,1.49,221.6,1,5636,4.218,0.42,1.354,1.103,,0
8482,K01050.02,1,2.853133997,0,0.016317,3.11386,1.36,0.0367,1016,251.77,11.02,2,5041,4.576,0.02,0.766,0.807,,0
8486,K00171.02,1,13.07141889,0,0.015742,1.19056,2.47,0.113,964,203.87,22.1,2,6122,4.173,0.02,1.439,1.123,,0
8552,K04202.01,0.949,153.979362,0,0.025664,1.90062,2.53,0.552,330,2.82,133.6,1,5858,4.502,-0.2,0.903,0.944,,0
8750,K02039.02,0.994,0.762132307,0,0.007382,2.90188,0.75,0.0162,1872,2913.14,4.47,2,5594,4.489,0.16,0.934,0.981,,0
8770,K06186.01,1,5.34264143,0,0.023564,3.27869,1.72,0.0531,799,96.47,17.04,1,5101,4.63,-0.5,0.67,0.699,,0
8822,K06233.01,1,16.17803,0,0.019283,1.0322,2.25,0.1285,754,76.54,24.26,1,5929,4.413,0.14,1.069,1.079,,0
8874,K05447.02,0,3.87594316,0,0.00694,2.70101,0.68,0.0485,1081,323.21,12.897,2,5713,4.541,0.07,0.893,1.01,,0
8924,K04693.01,0.991,23.6223571,0,0.007017,0.50976,1.07,0.1611,797,95.35,24.68,1,6144,4.149,-0.3,1.393,0.999,,0
8925,K03311.01,1,31.827649,0,0.023361,17.21605,4.98,0.1939,668,47.21,97.3,1,4774,3.838,0.38,1.954,0.959,,0
8994,K00961.03,1,1.865114193,0,0.040715,64.04739,0.66,0.0151,455,10.1,22.8,3,3292,5.215,-0.42,0.148,0.132,,0
8997,K01736.01,1,31.0033072,0,0.023218,1.87035,2.72,0.2037,616,34.03,45.63,1,6090,4.447,0.21,1.071,1.173,,0
9027,K01750.01,0.999,7.76845639,0,0.013457,1.12282,1.35,0.0749,841,118.09,15.3,2,5447,4.481,0.16,0.917,0.928,,0
9059,K02092.01,0.981,57.6896212,0,0.044886,0.42264,5.14,0.3025,512,16.19,42.1,3,6228,4.441,-0.08,1.049,1.107,,0
9060,K02413.01,1,12.90467523,0,0.018884,1.93239,1.49,0.0962,545,20.91,25.7,2,4513,4.574,0.16,0.722,0.712,,0
9061,K02468.01,0.997,24.3344939,0,0.01646,0.7647,1.74,0.167,647,41.3,28.82,1,6091,4.487,-0.14,0.967,1.045,,0
9062,K02492.01,1,0.984941669,0,0.008209,1.14505,1.49,0.0201,2335,7044.68,3.887,1,5825,4.046,0.14,1.662,1.121,,0
9063,K02497.01,0.985,48.4313003,0,0.03163,1.285,2.78,0.239,396,5.81,54.2,1,4891,4.516,0.16,0.805,0.776,,0
9097,K02589.01,1,0.664074145,0,0.013695,2.93951,1.19,0.0143,1703,1998.48,4.09,1,5178,4.585,0.16,0.797,0.896,,0
9098,K00571.04,0.999,22.40777833,0,0.023714,5.52889,1.15,0.1194,319,2.44,52.75,5,3751,4.8,-0.34,0.443,0.452,,0
9136,K00720.04,1,2.79590004,0,0.018787,1.37779,1.66,0.0365,1090,333.31,8.29,4,5244,4.538,-0.04,0.81,0.826,,0
9175,K02906.01,0.901,13.9093544,0,0.008521,0.37945,1.33,0.1179,928,175.14,15.715,3,6052,4.183,0.08,1.424,1.128,,0
9178,K00248.01,1,7.203855862,0,0.038237,4.13698,2.25,0.0595,509,15.87,22.473,4,3834,4.708,-0.02,0.539,0.541,,0
9179,K00107.01,1,7.256962446,0,0.020856,0.23039,3.53,0.0765,1163,432.1,8.62,1,5858,4.112,0.22,1.549,1.133,,0
9220,K01930.03,0.896,44.4304059,0,0.014103,0.35682,2.61,0.2526,680,50.42,33.39,4,5951,4.017,-0.08,1.693,1.086,,0
9265,K02926.02,0.976,5.53609368,0,0.035793,1.16751,2.2,0.0519,566,24.23,12.37,5,3891,4.718,0.21,0.564,0.605,,0
9306,K02956.01,1,3.93766786,0,0.004548,0.31319,1.36,0.0555,1947,3388.82,6.355,1,6277,3.728,-0.06,2.741,1.465,,0
9310,K03014.01,0.941,86.1160885,0,0.027076,3.53765,3.11,0.4001,441,8.93,111.52,1,6161,4.454,0.07,1.053,1.15,,0
9354,K03106.01,0.877,0.968980781,0,0.009916,2.4494,1.08,0.0197,1844,2730.51,4.9539,1,5866,4.473,0.18,1,1.083,,0
9356,K00285.03,0.476,49.3567907,0,0.010449,0.2907,1.91,0.2754,637,38.86,33.45,3,5862,4.05,0.16,1.67,1.142,,0
9480,K03417.01,1,91.078624,0,0.029618,0.08704,3.26,0.3982,415,7.02,33.7,1,5915,4.437,-0.02,1.008,1.014,,0
9541,K04385.02,0.911,386.370512,0,0.032485,2.68951,2.96,0.9712,209,0.45,276.9,3,5119,4.508,0.1,0.834,0.818,,0
2038,K02650.01,0.985,34.9897847,0,0.020074,4.19621,1.14,0.1691,292,1.71,64.76,2,3765,4.725,0.02,0.521,0.526,,1
4688,K03284.01,1,35.2330694,0,0.016941,6.12686,0.97,0.1729,288,1.62,73.8,1,3749,4.743,0.16,0.524,0.554,,1
7542,K07179.01,,407.14656,0,0.008994,0.08531,1.18,1.0765,272,1.29,90.8,1,5845,4.282,0.02,1.198,1.001,,1
2617,K03010.01,0.996,60.8660974,0,0.024307,6.48899,1.39,0.2465,244,0.84,108.315,1,3808,4.734,-0.02,0.522,0.539,,1
4649,K04742.01,0.993,112.303136,0,0.020068,4.53694,1.3,0.3874,241,0.79,144.6,1,4401,4.677,-0.38,0.595,0.613,,1
3217,K00463.01,0.001,18.47762694,0,0.050013,9.8259,1.55,0.0887,267,1.21,56.2,1,3395,4.97,-0.12,0.283,0.271,,1
4110,K04550.01,0.934,140.251943,0,0.021342,3.7841,1.84,0.4836,271,1.28,157.9,1,4821,4.529,0.16,0.788,0.765,,1
3413,K00701.03,0.994,122.3858681,0,0.023749,3.01939,1.72,0.4324,269,1.24,133.71,5,4926,4.653,-0.36,0.662,0.727,,1
3694,K04036.01,0.965,168.81133,0,0.021852,5.27578,1.69,0.5459,241,0.8,199.6,1,4798,4.62,0,0.707,0.771,,1
8668,K06676.01,,439.21978,0,0.017205,4.15804,1.81,1.1379,266,1.18,348.7,1,6553,4.479,-0.64,0.962,1.017,,1
3070,K00438.02,1,52.6615266,0,0.031827,6.53473,1.87,0.2262,271,1.28,98.6,2,3984,4.72,-0.22,0.539,0.557,,1
87,K00812.03,1,46.1842039,0,0.033974,3.99779,1.83,0.2005,273,1.32,76.67,4,3950,4.754,-0.46,0.493,0.502,,1
3844,K02529.02,0.997,64.0019669,0,0.032595,2.22778,2.48,0.2826,322,2.55,78.4,2,4652,4.617,0.02,0.697,0.734,,1
8295,K07554.01,,482.62011,0,0.016595,1.91938,1.98,1.2328,263,1.12,287,1,6315,4.389,-0.16,1.095,1.066,,1
6196,K05236.01,0,550.86514,0,0.016926,1.5852,2.06,1.3399,238,0.76,294.1,1,5912,4.367,0.1,1.115,1.056,,1
4687,K03282.01,0.996,49.2768448,0,0.030272,8.36473,1.75,0.2126,271,1.28,102.4,1,3899,4.713,-0.2,0.529,0.528,,1
1276,K00172.02,0.693,242.467406,0,0.016782,0.97923,1.73,0.7106,286,1.59,144.9,2,5637,4.399,-0.3,0.943,0.813,,1
4287,K04450.01,1,196.436796,0,0.022558,2.8272,2.33,0.6446,292,1.72,179.3,1,5462,4.452,0.16,0.946,0.924,,1
3688,K04103.01,0.999,184.77271,0,0.027576,1.92603,2.41,0.6045,268,1.21,151.5,2,5273,4.566,0,0.801,0.861,,1
3738,K04054.01,0.999,169.135056,0,0.025256,0.67276,2.21,0.5608,273,1.31,100.6,1,5171,4.545,0,0.801,0.82,,1
6094,K05202.01,,535.93723,0,0.017502,1.52135,1.83,1.3107,227,0.63,285,1,6014,4.494,-0.08,0.958,1.043,,1
8321,K07587.01,0.897,366.088938,0,0.024943,0.24063,2.57,0.9845,257,1.03,119.5,1,5941,4.464,-0.24,0.945,0.948,,1
1564,K01871.01,0.998,92.7297248,0,0.038187,0.49438,2.81,0.3608,276,1.38,60.8,2,4580,4.641,0.08,0.675,0.748,,1
3109,K00087.01,0.881,289.864067,0,0.024234,1.00734,2.34,0.7961,257,1.03,164.8,1,5516,4.446,-0.26,0.886,0.799,,1
4668,K04745.01,0.877,177.668663,0,0.030353,0.59089,2.32,0.5594,233,0.7,99.5,1,4721,4.615,-0.02,0.701,0.74,,1
1577,K02020.01,0.996,110.9643706,0,0.035366,0.17592,2.11,0.3679,239,0.77,48.6,1,4441,4.695,-0.86,0.546,0.538,,1
